OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025AAR,2026-06-01T10:55:33.823776,13.82671320,.0189705,98.8970,140.3434,84.9618,66.6449,0,U,30330,999,97016,.15046571E-2,.1837E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-03T11:25:57.853056,13.82679661,.01897275,98.8970,142.2544,79.5734,46.9410,0,U,30330,999,97044,.15387373E-2,.188E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-03T11:25:57.853056,13.82679661,.0189728,98.8970,142.2544,79.5734,46.9409,0,U,30330,999,97044,.15387E-2,.188E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-04T18:40:24.053088,13.82684657,.0189758,98.8969,143.4851,76.1220,46.2608,0,U,30330,999,97062,.15294E-2,.1869E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-04T18:40:24.053952,13.82684657,.01897575,98.8969,143.4851,76.1220,46.2608,0,U,30330,999,97062,.15294048E-2,.1869E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-06T12:22:11.398080,13.82690763,.01897521,98.8969,145.1279,71.5048,54.1792,0,U,30330,999,97086,.14780756E-2,.1805E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-06T17:49:51.686112,13.82691446,.01897526,98.8969,145.3430,70.9036,106.8375,0,U,30330,999,97089,.14668887E-2,.1791E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-06T17:49:51.686112,13.82691446,.0189753,98.8969,145.3430,70.9036,106.8375,0,U,30330,999,97089,.14669E-2,.1791E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-07T05:13:35.357376,13.82693268,.0189758,98.8968,145.7918,69.6455,310.2765,0,U,30330,999,97096,.15102E-2,.1845E-4,0
FENGYUN 1C DEB,1999-025AAR,2026-06-07T05:13:35.357376,13.82693268,.01897581,98.8968,145.7919,69.6455,310.2765,0,U,30330,999,97096,.15102421E-2,.1845E-4,0
