OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025CBY,2026-06-12T04:44:27.202848,14.97404689,.00197162,98.6607,334.3216,277.0821,82.8156,0,U,31666,999,99975,.32585495E-2,.38157E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-16T04:57:25.165728,14.97655328,.0019776,98.6611,338.7624,263.0753,96.8216,0,U,31666,999,1,.23487E-2,.27621E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-16T04:57:25.166592,14.97655328,.00197764,98.6611,338.7624,263.0753,96.8216,0,U,31666,999,1,.23486922E-2,.27621E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-19T09:55:11.418240,14.97818336,.00195426,98.6625,342.3170,251.9683,107.9407,0,U,31666,999,49,.25603385E-2,.30252E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-20T09:58:08.319648,14.97873029,.0019382,98.6641,343.4297,248.5572,111.3580,0,U,31666,999,64,.25048E-2,.29631E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-21T22:50:33.559584,14.97950416,.0019352,98.6606,345.1307,243.1324,116.7918,0,U,31666,999,87,.20275051E-2,.24E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-22T22:53:22.638336,14.98006888,.00193802,98.6608,346.2414,240.0758,119.8537,0,U,31666,999,102,.22608132E-2,.2682E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-24T05:20:51.950400,14.98083686,.00197663,98.6601,347.6493,236.0867,123.8473,0,U,31666,999,121,.26511417E-2,.31552E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-24T22:58:50.342304,14.98143163,.0019837,98.6602,348.4634,233.5767,126.3624,0,U,31666,999,132,.34038E-2,.40645E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-25T05:23:32.720928,14.98168948,.0019787,98.6603,348.7599,232.7925,127.1489,0,U,31666,999,136,.38598E-2,.46166E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-25T05:23:32.721792,14.98168948,.0019787,98.6603,348.7599,232.7925,127.1490,0,U,31666,999,136,.38598375E-2,.46166E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-26T05:26:08.348928,14.98254142,.0019775,98.6602,349.8706,229.4897,130.4600,0,U,31666,999,151,.33644E-2,.40286E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-26T05:26:08.349792,14.98254142,.00197746,98.6602,349.8706,229.4897,130.4600,0,U,31666,999,151,.33644102E-2,.40286E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-06-26T05:26:08.401632,14.98253511,.00196094,98.6623,349.8707,229.5626,130.3883,0,U,31666,999,151,.33184574E-2,.39729E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-05T10:34:39.048672,14.99022774,.0019641,98.6668,0.0982,201.8735,158.1648,0,U,31666,999,289,.52874E-2,.64848E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-05T10:34:39.049536,14.99022774,.00196415,98.6668,0.0982,201.8735,158.1648,0,U,31666,999,289,.52874371E-2,.64848E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-06T10:36:27.784800,14.99064089,.00194889,98.6664,1.2102,198.9829,161.0667,0,U,31666,999,304,.31290811E-2,.38244E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-07T10:38:13.178976,14.99108951,.0019624,98.6671,2.3238,195.8056,164.2554,0,U,31666,999,319,.19872E-2,.24243E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-07T10:38:13.179840,14.99108951,.00196237,98.6671,2.3238,195.8056,164.2554,0,U,31666,999,319,.19872254E-2,.24243E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-08T10:39:56.021760,14.99150359,.0019652,98.6674,3.4368,192.8969,167.1750,0,U,31666,999,334,.17897E-2,.21842E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-08T10:39:56.022624,14.99150359,.00196518,98.6674,3.4368,192.8969,167.1751,0,U,31666,999,334,.17896622E-2,.21842E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-09T10:41:35.940768,14.99206486,.00197523,98.6667,4.5490,189.4389,170.6463,0,U,31666,999,349,.21611341E-2,.26448E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-10T10:43:13.017216,14.99254075,.00196606,98.6673,5.6625,187.2861,172.8076,0,U,31666,999,364,.20125713E-2,.24648E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-11T10:44:47.563008,14.99292974,.00195995,98.6656,6.7736,184.3565,175.7487,0,U,31666,999,379,.1574153E-2,.19268E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-11T10:44:47.563008,14.99292974,.00196,98.6656,6.7736,184.3565,175.7487,0,U,31666,999,379,.15742E-2,.19268E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-13T10:47:49.856640,14.99372810,.0019737,98.6669,9.0004,178.6751,181.4525,0,U,31666,999,409,.1509E-2,.18504E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-13T10:47:49.857504,14.99372810,.00197366,98.6669,9.0004,178.6751,181.4525,0,U,31666,999,409,.15089914E-2,.18504E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-13T17:12:13.421664,14.99382074,.0020056,98.6685,9.2983,177.0541,183.0801,0,U,31666,999,413,.14348E-2,.17596E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-14T10:49:17.545728,14.99409802,.00200158,98.6688,10.1141,174.8166,185.3265,0,U,31666,999,424,.15118058E-2,.18559E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-15T10:50:43.173312,14.99444852,.00201249,98.6697,11.2277,171.9633,188.1913,0,U,31666,999,439,.14332245E-2,.17605E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-15T10:50:43.173312,14.99444852,.0020125,98.6697,11.2277,171.9633,188.1913,0,U,31666,999,439,.14332E-2,.17605E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-17T10:53:28.271616,14.99514718,.0020334,98.6721,13.4558,166.2574,193.9204,0,U,31666,999,469,.13065E-2,.1607E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-17T10:53:28.272480,14.99514718,.00203344,98.6721,13.4558,166.2574,193.9204,0,U,31666,999,469,.1306529E-2,.1607E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-18T10:54:47.852064,14.99548817,.00202043,98.6711,14.5677,163.7730,196.4141,0,U,31666,999,484,.13266569E-2,.16333E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-19T10:56:05.529120,14.99581614,.00199329,98.6692,15.6785,161.0978,199.0987,0,U,31666,999,499,.12839039E-2,.15815E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-20T10:57:21.161952,14.99618307,.0019923,98.6700,16.7923,158.2297,201.9774,0,U,31666,999,514,.14134533E-2,.17438E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-21T10:58:34.186368,14.99671280,.00203432,98.6674,17.9034,154.1478,206.0763,0,U,31666,999,529,.20344631E-2,.25199E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-22T10:59:43.442016,14.99748633,.00198767,98.6636,19.0132,151.6673,208.5633,0,U,31666,999,544,.29441805E-2,.36624E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-23T11:00:48.220416,14.99822828,.0019911,98.6645,20.1280,149.1157,211.1239,0,U,31666,999,559,.26437E-2,.32926E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-23T11:00:48.220416,14.99822828,.00199114,98.6645,20.1280,149.1157,211.1239,0,U,31666,999,559,.2643692E-2,.32926E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-24T11:01:48.429120,14.99912237,.00216941,98.6690,21.2457,144.5570,215.7097,0,U,31666,999,574,.35344633E-2,.44252E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-25T22:15:09.256608,15.00009717,.0018981,98.6647,22.8749,143.4413,216.8107,0,U,31666,999,596,.28718105E-2,.3595E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-27T11:04:24.610944,15.00112908,.0018696,98.6643,24.5812,138.5030,221.7613,0,U,31666,999,619,.28238E-2,.35437E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-27T11:04:24.611808,15.00112908,.00186957,98.6643,24.5812,138.5031,221.7613,0,U,31666,999,619,.28237681E-2,.35437E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-28T22:17:27.727296,15.00221002,.00184595,98.6644,26.2136,134.3632,225.9104,0,U,31666,999,641,.29365715E-2,.36964E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-28T23:53:30.310080,15.00228225,.0018297,98.6639,26.2873,134.3793,225.8930,0,U,31666,999,642,.29971E-2,.37736E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-28T23:53:30.310944,15.00228225,.00182968,98.6639,26.2873,134.3793,225.8930,0,U,31666,999,642,.2997091E-2,.37736E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-07-31T11:06:55.523232,15.00392477,.00179015,98.6641,29.0329,125.7637,234.5251,0,U,31666,999,679,.22649503E-2,.28582E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-08-02T22:19:58.717344,15.00544429,.00175221,98.6631,31.7800,118.6269,241.6716,0,U,31666,999,716,.29815832E-2,.37842E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-08-03T11:08:09.579264,15.00574433,.00173799,98.6631,32.3754,118.0443,242.2538,0,U,31666,999,724,.25969875E-2,.32953E-3,0
FENGYUN 1C DEB,1999-025CBY,2026-08-04T22:20:33.686016,15.00668126,.00172296,98.6633,34.0074,112.6830,247.6214,0,U,31666,999,746,.18232045E-2,.23136E-3,0
