OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025CWC,2026-06-01T10:21:33.054912,14.60768543,.00453379,98.8804,318.5564,285.0640,102.5698,0,U,32230,999,63158,.19006876E-2,.9366E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-07T17:31:29.361216,14.60896522,.00456539,98.8818,325.3086,265.1344,107.3775,0,U,32230,999,63250,.19160906E-2,.9471E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-07T17:31:29.361216,14.60896522,.0045654,98.8818,325.3086,265.1344,107.3775,0,U,32230,999,63250,.19161E-2,.9471E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-12T17:31:15.847392,14.60980328,.00459843,98.8804,330.6688,249.4417,123.7827,0,U,32230,999,63323,.20722888E-2,.1027E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-06-18T10:01:45.830784,14.61066865,.0046672,98.8816,336.7662,231.9013,160.2272,0,U,32230,999,63406,.14619E-2,.7242E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-18T10:01:45.831648,14.61066865,.00466718,98.8816,336.7662,231.9013,160.2273,0,U,32230,999,63406,.14618746E-2,.7242E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-19T22:44:30.117120,14.61088613,.00467868,98.8830,338.4076,226.9587,286.4088,0,U,32230,999,63428,.15743828E-2,.7809E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-20T09:41:10.931136,14.61094615,.0046746,98.8826,338.8983,225.5185,165.1248,0,U,32230,999,63435,.15605E-2,.774E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-21T10:19:56.010432,14.61107996,.00469085,98.8822,339.9989,222.3325,166.6772,0,U,32230,999,63450,.14029997E-2,.6956E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-22T23:02:59.265024,14.61130602,.00470261,98.8818,341.6398,217.6475,293.9875,0,U,32230,999,63472,.1477698E-2,.7334E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-06-24T22:42:53.476992,14.61167897,.0047167,98.8818,343.7702,211.5900,300.8113,0,U,32230,999,63501,.21272E-2,.10597E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-06-24T22:42:53.477856,14.61167897,.00471667,98.8818,343.7702,211.5900,300.8113,0,U,32230,999,63501,.21271529E-2,.10597E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-06-26T22:22:57.580032,14.61211919,.0047425,98.8815,345.9005,205.6109,308.4674,0,U,32230,999,63530,.20937E-2,.10441E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-06-26T22:22:57.580896,14.61211919,.00474248,98.8815,345.9005,205.6109,308.4674,0,U,32230,999,63530,.20937236E-2,.10441E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-06-27T14:11:14.959968,14.61254377,.0049092,98.8796,346.6085,205.2056,171.0954,0,U,32230,999,63540,.33671E-2,.16876E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-06-27T14:11:14.960832,14.61254377,.00490917,98.8796,346.6085,205.2056,171.0954,0,U,32230,999,63540,.33671149E-2,.16876E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-07-03T09:56:32.203104,14.61344997,.00473793,98.8680,352.8510,185.7988,205.6930,0,U,32230,999,63625,.23245393E-2,.11634E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-07-04T22:38:52.344096,14.61394037,.0048226,98.8848,354.4971,181.6479,331.2076,0,U,32230,999,63647,.33236E-2,.16699E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-07-04T22:38:52.344960,14.61394037,.00482256,98.8848,354.4971,181.6479,331.2076,0,U,32230,999,63647,.33236153E-2,.16699E-3,0
FENGYUN 1C DEB,1999-025CWC,2026-07-06T10:14:16.592352,14.61414582,.00480326,98.8823,356.0878,176.9821,213.0326,0,U,32230,999,63669,.18329065E-2,.9177E-4,0
FENGYUN 1C DEB,1999-025CWC,2026-07-06T10:14:16.592352,14.61414582,.0048033,98.8823,356.0878,176.9821,213.0326,0,U,32230,999,63669,.18329E-2,.9177E-4,0
