OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025ATA,2026-06-01T06:09:07.013952,14.55383012,.00272652,98.6933,268.7298,335.9683,24.0239,0,U,30740,999,117,.18792522E-2,.8158E-4,0
FENGYUN 1C DEB,1999-025ATA,2026-06-06T01:38:56.545728,14.55468735,.002729,98.6930,273.7376,319.6298,40.2873,0,U,30740,999,187,.24576E-2,.10708E-3,0
FENGYUN 1C DEB,1999-025ATA,2026-06-06T01:38:56.546592,14.55468735,.00272898,98.6930,273.7376,319.6298,40.2873,0,U,30740,999,187,.24576048E-2,.10708E-3,0
FENGYUN 1C DEB,1999-025ATA,2026-06-09T13:47:35.417472,14.55514950,.00272596,98.6927,277.3867,308.4374,51.4375,0,U,30740,999,238,.14932006E-2,.6488E-4,0
FENGYUN 1C DEB,1999-025ATA,2026-06-18T18:51:53.752320,14.55633023,.0027663,98.6944,286.9732,278.3668,81.4392,0,U,30740,999,372,.12985E-2,.565E-4,0
FENGYUN 1C DEB,1999-025ATA,2026-06-18T18:51:53.752320,14.55633023,.00276635,98.6944,286.9732,278.3668,81.4392,0,U,30740,999,372,.12985202E-2,.565E-4,0
FENGYUN 1C DEB,1999-025ATA,2026-06-19T06:24:46.798848,14.55637950,.00277918,98.6944,287.4749,276.7243,83.0790,0,U,30740,999,379,.13582628E-2,.5914E-4,0
FENGYUN 1C DEB,1999-025ATA,2026-06-20T07:09:31.473216,14.55649392,.00279065,98.6939,288.5484,273.3708,86.4296,0,U,30740,999,394,.13707142E-2,.597E-4,0
FENGYUN 1C DEB,1999-025ATA,2026-06-20T07:09:31.473216,14.55649392,.0027907,98.6939,288.5484,273.3708,86.4296,0,U,30740,999,394,.13707E-2,.597E-4,0
FENGYUN 1C DEB,1999-025ATA,2026-06-22T06:59:59.854272,14.55670995,.00280269,98.6936,290.6234,266.9008,92.8981,0,U,30740,999,423,.12155219E-2,.5291E-4,0
FENGYUN 1C DEB,1999-025ATA,2026-06-23T14:20:37.743648,14.55686361,.00281,98.6936,291.9830,262.7767,97.0234,0,U,30740,999,442,.13057393E-2,.569E-4,0
