OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HJS-6B,2025-067B,2026-06-01T04:20:52.980000,15.23853394,.0004701,54.9938,97.9006,313.1156,46.9472,0,U,63429,999,6550,.2369E-3,.5456E-4,0
HJS-6B,2025-067B,2026-06-01T07:29:47.535072,15.23855361,.00047068,54.9938,97.3232,313.6280,46.4350,0,U,63429,999,6552,.24014751E-3,.5535E-4,0
HJS-6B,2025-067B,2026-06-01T12:13:09.361632,15.23857702,.00047216,54.9939,96.4571,314.4098,45.6537,0,U,63429,999,6555,.23656913E-3,.5448E-4,0
HJS-6B,2025-067B,2026-06-01T18:30:58.427712,15.23860856,.00047526,54.9941,95.3025,315.5775,44.4865,0,U,63429,999,6559,.23611861E-3,.5438E-4,0
HJS-6B,2025-067B,2026-06-02T11:50:11.862240,15.23402751,.00049966,54.9947,92.1276,320.9346,39.1314,0,U,63429,999,6570,.2315801E-3,.5252E-4,0
HJS-6B,2025-067B,2026-06-02T19:42:36.608256,15.23406604,.0004952,54.9945,90.6852,320.9234,39.1428,0,U,63429,999,6575,.21848E-3,.4936E-4,0
HJS-6B,2025-067B,2026-06-02T22:51:34.484544,15.23408362,.00049341,54.9947,90.1078,320.8419,39.2244,0,U,63429,999,6577,.23513453E-3,.5338E-4,0
HJS-6B,2025-067B,2026-06-03T03:35:01.298976,15.23409928,.0004895,54.9946,89.2424,320.6300,39.4365,0,U,63429,999,6580,.21645E-3,.4888E-4,0
HJS-6B,2025-067B,2026-06-03T06:43:59.154528,15.23412272,.00049194,54.9947,88.6653,321.2287,38.8381,0,U,63429,999,6582,.23368433E-3,.5304E-4,0
HJS-6B,2025-067B,2026-06-03T11:27:25.930080,15.23414513,.000494,54.9947,87.7996,321.9824,38.0848,0,U,63429,999,6585,.22971E-3,.5208E-4,0
HJS-6B,2025-067B,2026-06-03T11:27:25.930944,15.23414513,.00049405,54.9948,87.7996,321.9824,38.0848,0,U,63429,999,6585,.22970561E-3,.5208E-4,0
HJS-6B,2025-067B,2026-06-03T19:19:50.516256,15.23417790,.0004983,54.9948,86.3568,323.2363,36.8316,0,U,63429,999,6590,.22218E-3,.5027E-4,0
HJS-6B,2025-067B,2026-06-03T22:28:48.332928,15.23419081,.0005,54.9948,85.7797,323.7100,36.3582,0,U,63429,999,6592,.21962273E-3,.4966E-4,0
HJS-6B,2025-067B,2026-06-04T03:12:15.030720,15.23421330,.0005024,54.9949,84.9140,324.3787,35.6898,0,U,63429,999,6595,.2221E-3,.5026E-4,0
HJS-6B,2025-067B,2026-06-04T06:21:12.827520,15.23423470,.00050435,54.9949,84.3369,324.8802,35.1886,0,U,63429,999,6597,.23579412E-3,.5357E-4,0
