OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 112,2017-003J,2026-06-01T18:49:38.267616,14.34217741,.00023858,86.3955,94.7462,88.1304,272.0165,0,U,41925,999,49106,.17240354E-4,.68E-6,0
IRIDIUM 112,2017-003J,2026-06-02T06:32:54.261600,14.34217844,.00023886,86.3955,94.5420,88.3450,271.8020,0,U,41925,999,49113,.21376306E-4,.8E-6,0
IRIDIUM 112,2017-003J,2026-06-02T18:16:10.251264,14.34217933,.00023871,86.3955,94.3380,87.8633,272.2836,0,U,41925,999,49120,.22561771E-4,.83E-6,0
IRIDIUM 112,2017-003J,2026-06-02T19:56:38.247072,14.34217958,.0002382,86.3955,94.3088,87.7344,272.4124,0,U,41925,999,49121,.22595E-4,.83E-6,0
IRIDIUM 112,2017-003J,2026-06-03T05:59:26.240064,14.34218022,.0002383,86.3955,94.1338,87.7472,272.3997,0,U,41925,999,49127,.24678889E-4,.89E-6,0
IRIDIUM 112,2017-003J,2026-06-03T07:39:54.218592,14.34218173,.0002392,86.3956,94.1046,88.1050,272.0419,0,U,41925,999,49128,.29566E-4,.103E-5,0
IRIDIUM 112,2017-003J,2026-06-03T07:39:54.219456,14.34218173,.00023916,86.3956,94.1046,88.1050,272.0420,0,U,41925,999,49128,.29565619E-4,.103E-5,0
IRIDIUM 112,2017-003J,2026-06-04T05:25:58.187424,14.34218355,.00023869,86.3956,93.7255,87.8450,272.3019,0,U,41925,999,49141,.33062822E-4,.112E-5,0
IRIDIUM 112,2017-003J,2026-06-04T05:25:58.187424,14.34218355,.0002387,86.3956,93.7255,87.8450,272.3019,0,U,41925,999,49141,.33063E-4,.112E-5,0
IRIDIUM 112,2017-003J,2026-06-05T01:31:34.137120,14.34218533,.0002382,86.3956,93.3755,87.6577,272.4892,0,U,41925,999,49153,.33349E-4,.113E-5,0
IRIDIUM 112,2017-003J,2026-06-05T06:32:58.099488,14.34218699,.00023799,86.3956,93.2878,87.4834,272.6634,0,U,41925,999,49156,.35507753E-4,.119E-5,0
IRIDIUM 112,2017-003J,2026-06-05T13:14:50.112960,14.34218588,.0002377,86.3957,93.1714,87.2519,272.8949,0,U,41925,999,49160,.31952E-4,.109E-5,0
IRIDIUM 112,2017-003J,2026-06-05T19:56:42.097920,14.34218652,.0002388,86.3957,93.0548,87.5857,272.5612,0,U,41925,999,49164,.32149E-4,.11E-5,0
IRIDIUM 112,2017-003J,2026-06-05T19:56:42.098784,14.34218652,.00023878,86.3957,93.0548,87.5857,272.5612,0,U,41925,999,49164,.32149128E-4,.11E-5,0
IRIDIUM 112,2017-003J,2026-06-05T21:37:10.098912,14.34218639,.00024013,86.3957,93.0256,88.1293,272.0178,0,U,41925,999,49165,.31694058E-4,.109E-5,0
IRIDIUM 112,2017-003J,2026-06-06T12:41:22.072416,14.34218616,.000243,86.3956,92.7626,89.4598,270.6876,0,U,41925,999,49174,.28087E-4,.98E-6,0
