OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025EN,2026-06-01T05:00:10.962144,14.32521088,.01680543,98.9298,63.7193,29.7806,331.2814,0,U,29844,999,782,.63683667E-3,.1969E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-01T16:44:13.402176,14.32523795,.0168021,98.9297,64.2230,28.3515,332.6686,0,U,29844,999,789,.67274402E-3,.2082E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-02T16:12:18.123264,14.32527813,.01679538,98.9295,65.2304,25.5231,335.4126,0,U,29844,999,803,.64282717E-3,.1987E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-02T16:12:18.123264,14.32527813,.0167954,98.9295,65.2304,25.5231,335.4126,0,U,29844,999,803,.64283E-3,.1987E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-03T13:59:47.978016,14.32531601,.0167901,98.9292,66.1658,22.8717,337.9832,0,U,29844,999,816,.64305E-3,.1988E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-03T13:59:47.978880,14.32531601,.0167901,98.9292,66.1658,22.8717,337.9832,0,U,29844,999,816,.64305348E-3,.1988E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-05T06:13:37.972128,14.32537371,.0167791,98.9290,67.8928,17.9847,342.7176,0,U,29844,999,840,.57283E-3,.1765E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-05T06:13:37.972992,14.32537371,.01677905,98.9290,67.8928,17.9847,342.7176,0,U,29844,999,840,.57282874E-3,.1765E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-07T05:09:45.359712,14.32545250,.0167671,98.9289,69.9078,12.2796,348.2397,0,U,29844,999,868,.62117E-3,.1918E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-07T16:53:47.184576,14.32546650,.0167635,98.9286,70.4111,10.8943,349.5799,0,U,29844,999,875,.62592E-3,.1933E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-07T16:53:47.185440,14.32546650,.01676353,98.9286,70.4111,10.8943,349.5799,0,U,29844,999,875,.6259165E-3,.1933E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-08T11:20:06.946368,14.32548391,.01675769,98.9287,71.2028,8.6587,351.7424,0,U,29844,999,886,.53719192E-3,.1651E-4,0
FENGYUN 1C DEB,1999-025EN,2026-06-08T11:20:06.946368,14.32548391,.0167577,98.9287,71.2028,8.6587,351.7424,0,U,29844,999,886,.53719E-3,.1651E-4,0
