OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-36785,2026-034D,2026-06-01T01:58:27.791040,15.30207876,.0001295,53.1570,176.8816,90.7569,269.3580,0,U,67853,999,1680,.11807E-2,.34782E-3,0
STARLINK-36785,2026-034D,2026-06-01T01:58:27.791904,15.30207876,.00012947,53.1570,176.8816,90.7569,269.3580,0,U,67853,999,1680,.11806982E-2,.34782E-3,0
STARLINK-36785,2026-034D,2026-06-02T04:37:22.024992,15.30225975,.00010295,53.1573,171.7234,40.2154,319.8923,0,U,67853,999,1697,.98671358E-3,.29002E-3,0
STARLINK-36785,2026-034D,2026-06-02T14:01:40.946016,15.30208746,.0001288,53.1573,169.9026,61.1409,298.9721,0,U,67853,999,1703,.58303E-3,.16953E-3,0
STARLINK-36785,2026-034D,2026-06-02T14:01:40.946880,15.30208746,.00012879,53.1573,169.9026,61.1409,298.9721,0,U,67853,999,1703,.58303418E-3,.16953E-3,0
STARLINK-36785,2026-034D,2026-06-03T05:42:12.787200,15.30213947,.00010828,53.1575,166.8679,95.5527,264.5598,0,U,67853,999,1713,.45488846E-3,.13143E-3,0
STARLINK-36785,2026-034D,2026-06-03T07:16:16.258080,15.30208728,.00012269,53.1585,166.5671,87.5535,272.5606,0,U,67853,999,1714,.991598E-3,.29132E-3,0
STARLINK-36785,2026-034D,2026-06-03T07:16:16.258080,15.30208728,.0001227,53.1585,166.5671,87.5535,272.5606,0,U,67853,999,1714,.9916E-3,.29132E-3,0
STARLINK-36785,2026-034D,2026-06-04T05:13:01.124832,15.30211413,.0001469,53.1582,162.3159,69.5900,290.5258,0,U,67853,999,1728,.76001E-3,.22225E-3,0
STARLINK-36785,2026-034D,2026-06-04T05:13:01.125696,15.30211413,.00014688,53.1582,162.3159,69.5900,290.5258,0,U,67853,999,1728,.76000829E-3,.22225E-3,0
STARLINK-36785,2026-034D,2026-06-05T06:17:52.198080,15.30215424,.00013934,53.1592,157.4651,84.3998,275.7162,0,U,67853,999,1744,.77009682E-3,.22529E-3,0
STARLINK-36785,2026-034D,2026-06-05T07:51:55.306080,15.30215864,.00011307,53.1574,157.1610,84.0468,276.0661,0,U,67853,999,1745,.73436013E-3,.21464E-3,0
STARLINK-36785,2026-034D,2026-06-05T07:51:55.306080,15.30215864,.0001131,53.1574,157.1610,84.0468,276.0661,0,U,67853,999,1745,.73436E-3,.21464E-3,0
STARLINK-36785,2026-034D,2026-06-06T04:14:37.000896,15.30224351,.0001779,53.1586,153.2150,67.5785,292.5404,0,U,67853,999,1758,.13268E-2,.39175E-3,0
STARLINK-36785,2026-034D,2026-06-06T04:14:37.001760,15.30224351,.00017788,53.1586,153.2150,67.5785,292.5404,0,U,67853,999,1758,.13268347E-2,.39175E-3,0
STARLINK-36785,2026-034D,2026-06-06T16:47:02.348736,15.30211218,.0001215,53.1575,150.7894,87.6543,272.4597,0,U,67853,999,1766,.12095E-2,.35646E-3,0
STARLINK-36785,2026-034D,2026-06-06T16:47:02.349600,15.30211218,.00012148,53.1575,150.7894,87.6543,272.4597,0,U,67853,999,1766,.12094607E-2,.35646E-3,0
STARLINK-36785,2026-034D,2026-06-07T05:19:28.086240,15.30192464,.0001192,53.1585,148.3642,91.5075,268.6063,0,U,67853,999,1774,.61103E-3,.17777E-3,0
STARLINK-36785,2026-034D,2026-06-07T16:17:50.574048,15.30196224,.000116,53.1574,146.2419,93.8650,266.2483,0,U,67853,999,1781,.53851E-3,.15622E-3,0
STARLINK-36785,2026-034D,2026-06-08T03:16:13.020384,15.30200646,.0001698,53.1596,144.1148,90.4594,269.6602,0,U,67853,999,1788,.30852E-3,.8789E-4,0
STARLINK-36785,2026-034D,2026-06-08T04:50:16.285632,15.30194015,.0001548,53.1592,143.8129,90.5845,269.5333,0,U,67853,999,1789,.28584E-3,.8114E-4,0
STARLINK-36785,2026-034D,2026-06-08T04:50:16.286496,15.30194015,.00015477,53.1592,143.8129,90.5845,269.5333,0,U,67853,999,1789,.28583819E-3,.8114E-4,0
STARLINK-36785,2026-034D,2026-06-09T04:21:03.946752,15.30207934,.0001696,53.1587,139.2625,123.1166,236.9998,0,U,67853,999,1804,.46092E-3,.1332E-3,0
STARLINK-36785,2026-034D,2026-06-09T04:21:03.947616,15.30207934,.00016964,53.1587,139.2625,123.1166,236.9998,0,U,67853,999,1804,.46092383E-3,.1332E-3,0
STARLINK-36785,2026-034D,2026-06-09T15:19:26.097600,15.30213663,.00013314,53.1580,137.1375,95.6599,264.4554,0,U,67853,999,1811,.49198365E-3,.14246E-3,0
STARLINK-36785,2026-034D,2026-06-10T05:25:53.776704,15.30236697,.0001413,53.1577,134.4074,93.5596,266.5566,0,U,67853,999,1820,.64645E-3,.18857E-3,0
STARLINK-36785,2026-034D,2026-06-10T05:25:53.777568,15.30236697,.00014133,53.1577,134.4074,93.5596,266.5566,0,U,67853,999,1820,.64645143E-3,.18857E-3,0
STARLINK-36785,2026-034D,2026-06-10T14:50:12.619104,15.30226724,.00009266,53.1573,132.5863,85.3219,274.7887,0,U,67853,999,1826,.49118747E-3,.14228E-3,0
STARLINK-36785,2026-034D,2026-06-11T04:56:42.658656,15.30164259,.00013546,53.1562,129.8560,74.1084,286.0066,0,U,67853,999,1835,.4904173E-3,.14177E-3,0
STARLINK-36785,2026-034D,2026-06-11T14:21:02.333088,15.30175511,.0001353,53.1561,128.0353,79.2043,280.9110,0,U,67853,999,1841,.4168E-3,.11996E-3,0
STARLINK-36785,2026-034D,2026-06-11T14:21:02.333952,15.30175511,.00013528,53.1561,128.0354,79.2043,280.9110,0,U,67853,999,1841,.41680005E-3,.11996E-3,0
STARLINK-36785,2026-034D,2026-06-12T04:27:31.656384,15.30189096,.00010452,53.1562,125.3050,75.7968,284.3149,0,U,67853,999,1850,.75512844E-3,.22065E-3,0
STARLINK-36785,2026-034D,2026-06-13T03:58:19.085952,15.30218421,.00013484,53.1571,120.7546,88.2363,271.8792,0,U,67853,999,1865,.63813629E-3,.18599E-3,0
STARLINK-36785,2026-034D,2026-06-14T03:29:06.990720,15.30202548,.0001241,53.1586,116.2053,99.0307,261.0834,0,U,67853,999,1880,.63999E-3,.18645E-3,0
STARLINK-36785,2026-034D,2026-06-14T03:29:06.991584,15.30202548,.0001241,53.1586,116.2053,99.0307,261.0835,0,U,67853,999,1880,.63998788E-3,.18645E-3,0
STARLINK-36785,2026-034D,2026-06-15T02:59:55.203936,15.30196524,.0001331,53.1597,111.6553,90.6017,269.5137,0,U,67853,999,1895,.82458E-3,.24139E-3,0
STARLINK-36785,2026-034D,2026-06-15T02:59:55.204800,15.30196524,.00013311,53.1597,111.6553,90.6017,269.5137,0,U,67853,999,1895,.8245752E-3,.24139E-3,0
STARLINK-36785,2026-034D,2026-06-16T02:30:43.430112,15.30202093,.0001279,53.1603,107.1038,83.1458,276.9688,0,U,67853,999,1910,.6194E-3,.18031E-3,0
STARLINK-36785,2026-034D,2026-06-16T02:30:43.430976,15.30202093,.00012793,53.1603,107.1038,83.1458,276.9688,0,U,67853,999,1910,.61940236E-3,.18031E-3,0
STARLINK-36785,2026-034D,2026-06-16T13:29:05.669088,15.30203596,.0001399,53.1604,104.9780,94.6443,265.4718,0,U,67853,999,1917,.51429E-3,.14905E-3,0
STARLINK-36785,2026-034D,2026-06-16T13:29:05.669088,15.30203597,.00013986,53.1604,104.9780,94.6443,265.4718,0,U,67853,999,1917,.51428505E-3,.14905E-3,0
STARLINK-36785,2026-034D,2026-06-17T02:01:30.991008,15.30212357,.0001514,53.1613,102.5523,95.5004,264.6170,0,U,67853,999,1925,.58351E-3,.16969E-3,0
STARLINK-36785,2026-034D,2026-06-17T02:01:30.991008,15.30212357,.00015142,53.1613,102.5523,95.5004,264.6170,0,U,67853,999,1925,.5835086E-3,.16969E-3,0
STARLINK-36785,2026-034D,2026-06-18T04:40:25.315680,15.30204882,.00011599,53.1604,97.3952,76.1097,284.0033,0,U,67853,999,1942,.38618182E-3,.11097E-3,0
STARLINK-36785,2026-034D,2026-06-18T12:30:41.376672,15.30203175,.0001549,53.1608,95.8759,92.0831,268.0347,0,U,67853,999,1947,.37939E-3,.10895E-3,0
STARLINK-36785,2026-034D,2026-06-18T12:30:41.377536,15.30203175,.00015485,53.1608,95.8759,92.0831,268.0347,0,U,67853,999,1947,.37938867E-3,.10895E-3,0
STARLINK-36785,2026-034D,2026-06-18T18:46:54.365088,15.30194054,.0001732,53.1596,94.6654,87.3934,272.7264,0,U,67853,999,1951,.98233E-3,.28842E-3,0
STARLINK-36785,2026-034D,2026-06-18T18:46:54.365952,15.30194054,.00017315,53.1596,94.6654,87.3934,272.7265,0,U,67853,999,1951,.98232671E-3,.28842E-3,0
STARLINK-36785,2026-034D,2026-06-19T02:37:10.153920,15.30206880,.0001157,53.1597,93.1491,83.6385,276.4747,0,U,67853,999,1956,.78671E-3,.23018E-3,0
STARLINK-36785,2026-034D,2026-06-19T02:37:10.154784,15.30206881,.00011567,53.1597,93.1491,83.6385,276.4747,0,U,67853,999,1956,.78670585E-3,.23018E-3,0
STARLINK-36785,2026-034D,2026-06-19T12:01:29.077536,15.30207391,.00009267,53.1607,91.3274,91.6250,268.4857,0,U,67853,999,1962,.45194623E-3,.13053E-3,0
STARLINK-36785,2026-034D,2026-06-20T03:42:00.553248,15.30226511,.00012107,53.1611,88.2936,90.7936,269.3204,0,U,67853,999,1972,.68910809E-3,.20122E-3,0
STARLINK-36785,2026-034D,2026-06-22T16:50:05.788896,15.30194145,.00013589,53.1581,76.4620,105.5526,254.5625,0,U,67853,999,2011,.83825771E-3,.24545E-3,0
STARLINK-36785,2026-034D,2026-06-23T22:37:06.204288,15.30212679,.00011131,53.1582,70.6970,92.4058,267.7071,0,U,67853,999,2030,.58920093E-3,.17138E-3,0
STARLINK-36785,2026-034D,2026-06-24T00:11:09.581856,15.30205629,.00012485,53.1585,70.3947,86.8986,273.2157,0,U,67853,999,2031,.96320679E-3,.28282E-3,0
STARLINK-36785,2026-034D,2026-06-24T23:41:57.286176,15.30212162,.0001104,53.1571,65.8439,90.9381,269.1746,0,U,67853,999,2046,.84312E-3,.24704E-3,0
STARLINK-36785,2026-034D,2026-06-24T23:41:57.286176,15.30212162,.00011045,53.1571,65.8439,90.9381,269.1746,0,U,67853,999,2046,.84311762E-3,.24704E-3,0
STARLINK-36785,2026-034D,2026-06-25T09:06:16.246080,15.30223858,.00013936,53.1571,64.0225,61.3970,298.7171,0,U,67853,999,2052,.13445894E-2,.39706E-3,0
STARLINK-36785,2026-034D,2026-06-25T16:56:32.360640,15.30200222,.0001898,53.1584,62.5067,112.1439,247.9763,0,U,67853,999,2057,.13209E-2,.38969E-3,0
STARLINK-36785,2026-034D,2026-06-25T20:04:38.574048,15.30205528,.0001021,53.1579,61.8985,76.1587,283.9527,0,U,67853,999,2059,.63073E-3,.18371E-3,0
STARLINK-36785,2026-034D,2026-06-25T23:12:45.050976,15.30204220,.0001168,53.1585,61.2930,81.8389,278.2745,0,U,67853,999,2061,.89278E-3,.26179E-3,0
STARLINK-36785,2026-034D,2026-06-25T23:12:45.051840,15.30204220,.00011683,53.1585,61.2930,81.8389,278.2745,0,U,67853,999,2061,.89278447E-3,.26179E-3,0
STARLINK-36785,2026-034D,2026-06-26T16:27:20.533248,15.30203266,.0001236,53.1589,57.9549,106.2216,253.8921,0,U,67853,999,2072,.89954E-3,.2638E-3,0
STARLINK-36785,2026-034D,2026-06-26T22:43:33.258144,15.30200998,.0001051,53.1590,56.7394,94.8702,265.2419,0,U,67853,999,2076,.60647E-3,.17646E-3,0
STARLINK-36785,2026-034D,2026-06-26T22:43:33.258144,15.30200998,.00010511,53.1590,56.7394,94.8702,265.2419,0,U,67853,999,2076,.60646643E-3,.17646E-3,0
STARLINK-36785,2026-034D,2026-06-27T19:06:15.232032,15.30192013,.0001013,53.1597,52.7988,75.7137,284.3976,0,U,67853,999,2089,.59121E-3,.17187E-3,0
STARLINK-36785,2026-034D,2026-06-27T22:14:21.660576,15.30199202,.0001198,53.1598,52.1922,84.8579,275.2558,0,U,67853,999,2091,.10426E-2,.30648E-3,0
STARLINK-36785,2026-034D,2026-06-27T22:14:21.661440,15.30199202,.00011976,53.1598,52.1922,84.8579,275.2558,0,U,67853,999,2091,.10426443E-2,.30648E-3,0
STARLINK-36785,2026-034D,2026-06-28T15:28:57.110880,15.30206413,.00011671,53.1601,48.8542,80.8830,279.2302,0,U,67853,999,2102,.91233029E-3,.26764E-3,0
STARLINK-36785,2026-034D,2026-06-28T21:45:09.840096,15.30198327,.00012625,53.1605,47.6416,83.9278,276.1867,0,U,67853,999,2106,.42375536E-3,.12211E-3,0
STARLINK-36785,2026-034D,2026-06-30T14:30:32.675040,15.30209640,.000133,53.1599,39.7526,92.7743,267.3410,0,U,67853,999,2132,.56479E-3,.1641E-3,0
STARLINK-36785,2026-034D,2026-06-30T14:30:32.675040,15.30209640,.00013301,53.1599,39.7526,92.7743,267.3410,0,U,67853,999,2132,.56478879E-3,.1641E-3,0
STARLINK-36785,2026-034D,2026-07-01T07:45:07.555104,15.30228012,.0000845,53.1615,36.4156,75.7041,284.4054,0,U,67853,999,2143,.11108984E-2,.32716E-3,0
STARLINK-36785,2026-034D,2026-07-01T07:45:07.555104,15.30228012,.0000845,53.1615,36.4156,75.7041,284.4054,0,U,67853,999,2143,.11109E-2,.32716E-3,0
STARLINK-36785,2026-034D,2026-07-01T20:17:33.238176,15.30222910,.00025392,53.1579,33.9894,83.7293,276.3997,0,U,67853,999,2151,.75479247E-3,.22079E-3,0
STARLINK-36785,2026-034D,2026-07-02T13:32:08.017152,15.30217281,.00002159,53.1605,30.6514,261.5724,98.5253,0,U,67853,999,2162,.75984211E-3,.22225E-3,0
STARLINK-36785,2026-034D,2026-07-02T13:32:08.017152,15.30217281,.0000216,53.1605,30.6514,261.5724,98.5253,0,U,67853,999,2162,.75984E-3,.22225E-3,0
STARLINK-36785,2026-034D,2026-07-02T19:48:20.549376,15.30233547,.00010905,53.1606,29.4377,80.8191,279.2933,0,U,67853,999,2166,.11820053E-2,.34849E-3,0
STARLINK-36785,2026-034D,2026-07-02T19:48:20.549376,15.30233547,.0001091,53.1606,29.4377,80.8191,279.2933,0,U,67853,999,2166,.1182E-2,.34849E-3,0
STARLINK-36785,2026-034D,2026-07-03T22:27:13.805280,15.30195038,.00037434,53.1621,24.2795,225.9874,134.0818,0,U,67853,999,2183,.80431999E-3,.23537E-3,0
STARLINK-36785,2026-034D,2026-07-04T06:17:31.443936,15.30202108,.00016838,53.1603,22.7632,91.3220,268.7974,0,U,67853,999,2188,.79104343E-3,.23144E-3,0
STARLINK-36785,2026-034D,2026-07-04T21:58:02.724384,15.30237332,.00012325,53.1600,19.7302,101.4469,258.6671,0,U,67853,999,2198,.14777281E-2,.43715E-3,0
STARLINK-36785,2026-034D,2026-07-05T13:38:35.472768,15.30198829,.00015197,53.1594,16.6959,108.7013,251.4152,0,U,67853,999,2208,.92440773E-3,.27118E-3,0
STARLINK-36785,2026-034D,2026-07-05T18:20:45.571776,15.30162679,.0001007,53.1591,15.7849,58.8917,301.2182,0,U,67853,999,2211,.28766E-3,.816E-4,0
STARLINK-36785,2026-034D,2026-07-05T21:28:52.343328,15.30160068,.00010628,53.1599,15.1795,79.2165,280.8955,0,U,67853,999,2213,.77111859E-3,.2252E-3,0
STARLINK-36785,2026-034D,2026-07-05T21:28:52.343328,15.30160068,.0001063,53.1599,15.1795,79.2165,280.8955,0,U,67853,999,2213,.77112E-3,.2252E-3,0
STARLINK-36785,2026-034D,2026-07-06T16:17:31.698240,15.30183129,.00011026,53.1598,11.5394,77.6485,282.4639,0,U,67853,999,2225,.58608351E-3,.1703E-3,0
STARLINK-36785,2026-034D,2026-07-06T16:17:31.698240,15.30183129,.0001103,53.1598,11.5394,77.6485,282.4639,0,U,67853,999,2225,.58608E-3,.1703E-3,0
STARLINK-36785,2026-034D,2026-07-07T17:22:22.514016,15.30211763,.0001037,53.1603,6.6893,82.6133,277.4986,0,U,67853,999,2241,.50952E-3,.14767E-3,0
STARLINK-36785,2026-034D,2026-07-07T22:04:31.844928,15.30216053,.0001032,53.1603,5.7784,83.5745,276.5373,0,U,67853,999,2244,.44509E-3,.12852E-3,0
STARLINK-36785,2026-034D,2026-07-08T12:10:59.871360,15.30218570,.00015676,53.1601,3.0443,133.7177,226.3954,0,U,67853,999,2253,.4204147E-3,.1212E-3,0
STARLINK-36785,2026-034D,2026-07-08T12:10:59.871360,15.30218570,.0001568,53.1601,3.0443,133.7177,226.3953,0,U,67853,999,2253,.42041E-3,.1212E-3,0
STARLINK-36785,2026-034D,2026-07-08T18:27:12.300768,15.30227814,.00011918,53.1619,1.8328,110.4143,249.6986,0,U,67853,999,2257,.47029026E-3,.13607E-3,0
