OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025CC,2026-06-01T01:03:35.682336,14.09191419,.0077824,98.7238,169.0298,180.0324,203.5701,0,U,29786,999,99559,.21786E-3,.347E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-01T01:03:35.682336,14.09191419,.00778242,98.7238,169.0298,180.0324,203.5701,0,U,29786,999,99559,.2178613E-3,.347E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-01T13:28:14.978208,14.09191810,.00778623,98.7237,169.5307,178.5683,306.9758,0,U,29786,999,99566,.21025003E-3,.333E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-03T07:48:19.259424,14.09192902,.00779605,98.7237,171.2396,173.5943,255.5876,0,U,29786,999,99591,.14463927E-3,.216E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-03T07:48:19.259424,14.09192902,.0077961,98.7237,171.2396,173.5943,255.5876,0,U,29786,999,99591,.14464E-3,.216E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-03T14:54:02.418912,14.09193025,.0077971,98.7237,171.5260,172.7589,315.3892,0,U,29786,999,99595,.12839E-3,.187E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-03T14:54:02.419776,14.09193025,.00779705,98.7237,171.5260,172.7589,315.3892,0,U,29786,999,99595,.1283937E-3,.187E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-04T00:48:54.891360,14.09193220,.00779919,98.7237,171.9262,171.5961,251.1172,0,U,29786,999,99601,.11155466E-3,.157E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-04T00:48:54.891360,14.09193220,.0077992,98.7236,171.9262,171.5960,251.1172,0,U,29786,999,99601,.11155E-3,.157E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-05T00:38:43.726272,14.09193802,.0078042,98.7236,172.8881,168.7975,248.3202,0,U,29786,999,99615,.94825E-4,.127E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-05T07:30:56.306880,14.09193778,.0078059,98.7237,173.1654,167.9900,260.5261,0,U,29786,999,99619,.78237E-4,.98E-6,0
FENGYUN 1C DEB,1999-025CC,2026-06-05T07:30:56.307744,14.09193778,.00780591,98.7237,173.1654,167.9900,260.5262,0,U,29786,999,99619,.78237279E-4,.98E-6,0
FENGYUN 1C DEB,1999-025CC,2026-06-06T21:15:13.179744,14.09194462,.0078172,98.7236,174.6886,163.5742,317.5240,0,U,29786,999,99641,.81972E-4,.104E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-06T21:15:13.180608,14.09194462,.00781721,98.7236,174.6886,163.5742,317.5240,0,U,29786,999,99641,.81971807E-4,.104E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-07T06:58:37.017408,14.09194763,.00781947,98.7236,175.0811,162.4327,212.8194,0,U,29786,999,99647,.10535119E-3,.146E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-07T06:58:37.017408,14.09194763,.0078195,98.7236,175.0811,162.4327,212.8194,0,U,29786,999,99647,.10535E-3,.146E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-07T19:40:56.491392,14.09194962,.0078227,98.7236,175.5939,160.9434,18.4698,0,U,29786,999,99654,.11695E-3,.167E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-07T19:40:56.491392,14.09194962,.00782272,98.7236,175.5939,160.9434,18.4698,0,U,29786,999,99654,.11694784E-3,.167E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-08T19:32:38.360832,14.09195423,.0078289,98.7236,176.5571,158.1454,22.3073,0,U,29786,999,99668,.1488E-3,.224E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-09T00:03:54.606240,14.09195325,.0078301,98.7236,176.7396,157.6161,257.9867,0,U,29786,999,99671,.1363E-3,.202E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-09T06:41:52.207008,14.09195485,.0078316,98.7236,177.0073,156.8370,219.9920,0,U,29786,999,99675,.14863E-3,.224E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-09T06:41:52.207872,14.09195485,.00783156,98.7236,177.0073,156.8370,219.9920,0,U,29786,999,99675,.14863165E-3,.224E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-09T19:23:49.521120,14.09195790,.0078347,98.7235,177.5199,155.3495,24.3418,0,U,29786,999,99682,.16785912E-3,.258E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-09T19:23:49.521120,14.09195790,.0078347,98.7235,177.5199,155.3495,24.3418,0,U,29786,999,99682,.16786E-3,.258E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-10T23:48:13.355136,14.09196462,.00784197,98.7235,178.6665,152.0248,268.8918,0,U,29786,999,99699,.19332339E-3,.304E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-11T13:44:03.656256,14.09196865,.00784548,98.7235,179.2288,150.3940,333.5318,0,U,29786,999,99707,.20441293E-3,.323E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-11T13:44:03.656256,14.09196865,.0078455,98.7235,179.2288,150.3940,333.5318,0,U,29786,999,99707,.20441E-3,.323E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-11T23:38:55.853952,14.09197062,.00784783,98.7235,179.6290,149.2388,269.2409,0,U,29786,999,99713,.19982074E-3,.315E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-12T13:35:50.797824,14.09197602,.00785134,98.7235,180.1920,147.6092,337.6754,0,U,29786,999,99721,.21237988E-3,.338E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-13T15:07:20.303904,14.09198176,.0078569,98.7234,181.2223,144.6305,333.0841,0,U,29786,999,99736,.18512E-3,.289E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-13T15:07:20.304768,14.09198176,.00785685,98.7234,181.2223,144.6305,333.0841,0,U,29786,999,99736,.18511799E-3,.289E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-13T23:22:10.955424,14.09198344,.0078592,98.7234,181.5552,143.6772,276.3999,0,U,29786,999,99741,.17218678E-3,.266E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-13T23:22:10.955424,14.09198344,.0078592,98.7234,181.5552,143.6772,276.3999,0,U,29786,999,99741,.17219E-3,.266E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-14T01:06:57.466944,14.09198350,.0078594,98.7234,181.6257,143.4721,285.5219,0,U,29786,999,99742,.16659E-3,.256E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-14T13:17:36.971232,14.09198601,.00786284,98.7234,182.1172,142.0589,339.6078,0,U,29786,999,99749,.14502435E-3,.217E-5,0
