ID,Name,Type,TLE Line 1,TLE Line 2,Epoch
59742,STARLINK-31816,Satellite,1 59742U 24090N   26249.01363429 -.00000497  00000+0 -85515-5 0  9993,2 59742  42.9987 245.5011 0000966 279.8821  80.1921 15.27575484130995,2026-09-06 00:19:38 UTC
49809,GSAT0223 (GALILEO 27),Satellite,1 49809U 21116A   26245.47206148 -.00000080  00000+0  00000+0 0  9999,2 49809  57.1297 339.5890 0004022 223.7478 167.6349  1.70475983 29507,2026-09-02 11:19:46 UTC
61592,STARLINK-32422,Satellite,1 61592U 24187U   26248.52593890  .00000293  00000+0  19795-4 0  9996,2 61592  53.1594 291.5100 0001135  87.5722 272.5411 15.34392387106870,2026-09-05 12:37:21 UTC
50831,STARLINK-3299,Satellite,1 50831U 22001AE  26248.86982029  .00026255  00000+0  81873-3 0  9997,2 50831  53.1580  71.0119 0000266 112.4359 247.6671 15.33081848257737,2026-09-05 20:52:32 UTC
52320,SUPERVIEW NEO-1 01,Satellite,1 52320U 22043A   26249.22015264  .00002588  00000+0  13385-3 0  9993,2 52320  97.3343 319.4105 0002371  47.6044 312.5390 15.17111398241843,2026-09-06 05:17:01 UTC
58778,STARLINK-31120,Satellite,1 58778U 24011P   26248.28931707 -.00002360  00000+0 -58785-4 0  9991,2 58778  53.1589 256.9044 0001199  89.6184 270.4956 15.34371137147802,2026-09-05 06:56:36 UTC
47179,STARLINK-1913,Satellite,1 47179U 20088BK  26248.84757342  .00036729  00000+0  85052-3 0  9997,2 47179  53.1524 184.2158 0002402  69.5767 290.5496 15.42119606319437,2026-09-05 20:20:30 UTC
41925,IRIDIUM 112,Satellite,1 41925U 17003J   26248.85572154 -.00000182  00000+0 -72003-4 0  9999,2 41925  86.3922  54.5492 0002055  91.7539 268.3893 14.34216453504830,2026-09-05 20:32:14 UTC
62581,CENTISPACE-1 S12,Satellite,1 62581U 25007G   26249.11699356 -.00000090  00000+0  47761-4 0  9997,2 62581  54.9788   8.3324 0013018 288.6675  71.2867 13.80619908 85919,2026-09-06 02:48:28 UTC
68096,STARLINK-36328,Satellite,1 68096U 26042AD  26248.62988697  .00007097  00000+0  22101-3 0  9991,2 68096  53.1584  59.4483 0000914  97.5100 262.6006 15.34393801 29893,2026-09-05 15:07:02 UTC
65599,STARLINK-35245,Satellite,1 65599U 25207H   26248.90789988  .00002128  00000+0  15134-3 0  9999,2 65599  97.2859 312.1214 0002099 118.7399 241.4039 15.05658167 55386,2026-09-05 21:47:22 UTC
67889,STARLINK-36372,Satellite,1 67889U 26035L   26248.36877260  .00004022  00000+0  12686-3 0  9998,2 67889  97.2837 180.4236 0002060  87.0596 273.0882 15.33437322 31527,2026-09-05 08:51:01 UTC
59218,STARLINK-31421,Satellite,1 59218U 24046T   26248.59344809  .00000270  00000+0  19118-4 0  9997,2 59218  53.1589  35.4715 0001166  80.8225 279.2909 15.34389604140648,2026-09-05 14:14:33 UTC
58719,STARLINK-31051,Satellite,1 58719U 24002Q   26249.02944808  .00000068  00000+0  13172-4 0  9997,2 58719  53.1588 111.0299 0001470  97.3067 262.8103 15.34375161149641,2026-09-06 00:42:24 UTC
63429,HJS-6B,Satellite,1 63429U 25067B   26249.19261973  .00007331  00000+0  35786-3 0  9990,2 63429  54.9950  33.6409 0008389 155.2138 204.9286 15.19278901 80255,2026-09-06 04:37:22 UTC
